,Time_Step,FI,Smooth_FI
0,1967,4.2679491924311215,4.152824724373332
1,1968,4.063508326896294,4.152824724373332
2,1969,4.127016653792579,4.152824724373332
3,1970,4.127016653792579,3.885319032077284
4,1971,4.063508326896294,3.885319032077284
5,1972,3.4654321155429773,3.885319032077284
6,1973,3.4654321155429773,3.58800721486312
7,1974,3.649294764523191,3.58800721486312
8,1975,3.649294764523191,3.58800721486312
9,1976,3.131656674318161,3.039904964782021
10,1977,3.131656674318161,3.039904964782021
11,1978,2.85640154570974,3.039904964782021
12,1979,2.85640154570974,2.9826280978565287
13,1980,3.149294764523193,2.9826280978565287
14,1981,2.9421879833366535,2.9826280978565287
15,1982,3.149294764523193,2.9135925041276813
16,1983,2.9421879833366535,2.9135925041276813
17,1984,2.649294764523199,2.9135925041276813
18,1985,2.649294764523199,2.844556910398834
19,1986,3.149294764523193,2.844556910398834
20,1987,2.7350812021501083,2.844556910398834
21,1988,2.9421879833366535,2.746925837461017
22,1989,2.649294764523199,2.746925837461017
23,1990,2.649294764523199,2.746925837461017
24,1991,2.9421879833366535,3.0112235770655
25,1992,2.9421879833366535,3.0112235770655
26,1993,3.149294764523193,3.0112235770655
27,1994,2.5857864376269073,2.5857864376269073
28,1995,2.5857864376269073,2.5857864376269073
29,1996,2.5857864376269073,2.5857864376269073
30,1997,2.792893218813447,2.7238576250846003
31,1998,2.5857864376269073,2.7238576250846003
32,1999,2.792893218813447,2.7238576250846003
33,2000,2.5000000000000004,2.6262265521467847
34,2001,2.792893218813447,2.6262265521467847
35,2002,2.5857864376269073,2.6262265521467847
36,2003,2.5857864376269073,2.5857864376269073
37,2004,2.5857864376269073,2.5857864376269073
38,2005,2.5857864376269073,2.5857864376269073
39,2006,2.5857864376269073,2.8214886980224185
40,2007,2.792893218813447,2.8214886980224185
41,2008,3.085786437626901,2.8214886980224185
42,2009,2.792893218813447,2.8543881699575784
43,2010,3.068148347421868,2.8543881699575784
44,2011,2.7021229436374203,2.8543881699575784
45,2012,2.7021229436374203,2.8056763342306965
46,2013,2.909229724823973,2.8056763342306965
